id,cpu,memoire,erreurs,type
450,47.43,55.21,0,normal
451,51.08,62.66,1,normal
452,52.18,20.34,0,normal
453,21.53,23.76,1,normal
454,12.47,25.25,1,normal
455,53.04,52.64,2,normal
456,16.44,31.4,0,normal
457,29.38,46.38,1,normal
458,45.9,37.81,1,normal
459,47.63,30.66,0,normal
460,57.43,39.64,0,normal
461,10.89,35.56,0,normal
462,38.23,28.21,0,normal
463,23.04,22.8,0,normal
464,34.99,27.09,1,normal
465,27.55,32.14,0,normal
466,19.53,41.52,1,normal
467,59.11,21.05,2,normal
468,47.47,53.76,2,normal
469,35.25,20.47,1,normal
470,28.12,31.22,0,normal
471,32.08,35.2,2,normal
472,50.24,56.5,1,normal
473,36.17,52.38,0,normal
474,33.1,36.68,1,normal
475,53.59,56.62,0,normal
476,41.2,48.21,1,normal
477,24.5,47.66,1,normal
478,15.07,37.89,2,normal
479,34.3,67.53,1,normal
480,54.89,60.33,0,normal
481,45.81,68.31,1,normal
482,39.74,21.95,0,normal
483,23.7,69.42,0,normal
484,45.44,23.55,2,normal
485,41.28,52.14,1,normal
486,58.33,46.91,1,normal
487,26.83,43.31,0,normal
488,53.89,48.87,1,normal
489,22.0,58.4,2,normal
490,39.89,61.72,0,normal
491,32.44,54.49,2,normal
492,33.39,44.93,2,normal
493,18.68,43.6,2,normal
494,25.71,20.99,2,normal
495,42.57,20.78,0,normal
496,36.62,46.48,2,normal
497,54.39,21.47,1,normal
498,18.24,27.98,2,normal
499,26.53,48.25,2,normal
500,99.18,88.55,14,anomalie
501,92.84,87.63,12,anomalie
502,85.19,94.35,15,anomalie
503,97.0,97.33,11,anomalie
504,95.24,92.02,18,anomalie
505,94.41,95.81,8,anomalie
506,88.0,94.09,16,anomalie
507,94.47,85.08,8,anomalie
508,93.71,98.51,15,anomalie
509,86.67,89.33,12,anomalie
